loss,params,iteration,estimators,train_time
2.0507952236804328,"{'boosting_type': 'dart', 'colsample_bytree': 0.6113500982953994, 'learning_rate': 0.0872278163050192, 'min_child_samples': 215, 'num_leaves': 57, 'reg_alpha': 0.07315505098491903, 'reg_lambda': 0.8163037258429453, 'subsample_for_bin': 80000, 'subsample': 0.8440462994924509}",69,135,6.75013890399714

2.052343255239685,"{'boosting_type': 'dart', 'colsample_bytree': 0.608783064756028, 'learning_rate': 0.08560077108965267, 'min_child_samples': 185, 'num_leaves': 54, 'reg_alpha': 0.06752664832273719, 'reg_lambda': 0.9863956132066967, 'subsample_for_bin': 40000, 'subsample': 0.8351867915204206}",70,175,9.204744708025828

2.0581124114974747,"{'boosting_type': 'dart', 'colsample_bytree': 0.633033602848267, 'learning_rate': 0.1258757479130722, 'min_child_samples': 130, 'num_leaves': 57, 'reg_alpha': 0.3557480237472703, 'reg_lambda': 0.8105304446981979, 'subsample_for_bin': 80000, 'subsample': 0.9092176898782248}",71,76,7.59982403201866

2.0515326188180563,"{'boosting_type': 'dart', 'colsample_bytree': 0.6184385105801335, 'learning_rate': 0.04465201340042056, 'min_child_samples': 215, 'num_leaves': 64, 'reg_alpha': 0.14958201406340105, 'reg_lambda': 0.9092540970427502, 'subsample_for_bin': 40000, 'subsample': 0.8715237823500604}",72,290,12.14640643299208

2.04821059698222,"{'boosting_type': 'dart', 'colsample_bytree': 0.6709012288261299, 'learning_rate': 0.0756303928801607, 'min_child_samples': 205, 'num_leaves': 35, 'reg_alpha': 0.1713564033328282, 'reg_lambda': 0.7676534857315475, 'subsample_for_bin': 60000, 'subsample': 0.8458615500215604}",73,185,9.835679500014521

2.0723337459448867,"{'boosting_type': 'dart', 'colsample_bytree': 0.6712622755609469, 'learning_rate': 0.13911583390045237, 'min_child_samples': 80, 'num_leaves': 35, 'reg_alpha': 0.268683291745816, 'reg_lambda': 0.7561508738810462, 'subsample_for_bin': 60000, 'subsample': 0.7694196506765731}",74,51,10.109679799992591

2.0568774371429734,"{'boosting_type': 'dart', 'colsample_bytree': 0.6546495259211523, 'learning_rate': 0.07733336179783784, 'min_child_samples': 165, 'num_leaves': 42, 'reg_alpha': 0.005360127236856943, 'reg_lambda': 0.6948556278052993, 'subsample_for_bin': 20000, 'subsample': 0.8091933677338397}",75,185,11.205614286009222

2.084241134027773,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.6321661360366267, 'learning_rate': 0.05211563853523254, 'min_child_samples': 65, 'num_leaves': 34, 'reg_alpha': 0.5074249198813956, 'reg_lambda': 0.8628484157083339, 'subsample_for_bin': 60000, 'subsample': 0.5787963418456434}",76,82,11.857475413999055

